date,day_of_week,weekend,temperature,rainfall,rain_probability,local_event,units_prepared,units_sold,true_demand,price_per_unit,cost_per_unit
2026-03-25,2,False,28.0,1.79,0.24,False,85,81,80.8,25.0,12.0
2026-03-26,3,False,30.2,2.05,0.23,False,76,73,72.5,25.0,12.0
2026-03-27,4,False,29.6,4.9,0.5,False,78,78,83.3,25.0,12.0
2026-03-28,5,True,27.5,0.92,0.15,False,95,95,100.2,25.0,12.0
2026-03-29,6,True,30.9,1.98,0.16,True,106,106,130.1,25.0,12.0
2026-03-30,0,False,28.2,0.52,0.1,False,78,64,64.3,25.0,12.0
2026-03-31,1,False,32.1,1.15,0.23,False,74,65,65.1,25.0,12.0
2026-04-01,2,False,32.0,0.61,0.13,False,76,76,81.0,25.0,12.0
2026-04-02,3,False,32.0,1.49,0.33,False,80,79,79.2,25.0,12.0
2026-04-03,4,False,32.2,0.73,0.38,False,88,72,71.6,25.0,12.0
2026-04-04,5,True,33.4,0.86,0.3,False,94,94,96.4,25.0,12.0
2026-04-05,6,True,35.2,1.38,0.17,False,94,85,84.6,25.0,12.0
2026-04-06,0,False,31.0,3.95,0.23,False,72,68,67.8,25.0,12.0
2026-04-07,1,False,36.6,4.63,0.55,False,75,68,68.2,25.0,12.0
2026-04-08,2,False,35.0,0.18,0.05,False,74,74,77.2,25.0,12.0
2026-04-09,3,False,32.1,0.46,0.06,False,76,71,71.0,25.0,12.0
2026-04-10,4,False,32.9,6.11,0.48,False,83,59,58.9,25.0,12.0
2026-04-11,5,True,33.2,5.98,0.32,False,94,94,94.3,25.0,12.0
2026-04-12,6,True,30.9,1.33,0.17,True,102,102,143.3,25.0,12.0
2026-04-13,0,False,33.7,3.32,0.31,True,99,99,108.4,25.0,12.0
2026-04-14,1,False,32.1,1.74,0.55,False,73,73,79.1,25.0,12.0
2026-04-15,2,False,35.0,1.16,0.23,False,77,74,74.0,25.0,12.0
2026-04-16,3,False,39.0,1.54,0.22,False,79,67,66.6,25.0,12.0
2026-04-17,4,False,29.7,0.25,0.07,False,78,71,71.4,25.0,12.0
2026-04-18,5,True,31.8,7.43,0.3,False,86,86,105.5,25.0,12.0
2026-04-19,6,True,34.8,0.63,0.12,False,85,85,94.4,25.0,12.0
2026-04-20,0,False,34.2,1.98,0.21,False,81,75,74.8,25.0,12.0
2026-04-21,1,False,32.3,3.11,0.17,False,75,75,75.5,25.0,12.0
2026-04-22,2,False,31.5,4.97,0.39,False,82,70,70.2,25.0,12.0
2026-04-23,3,False,33.1,4.23,0.24,False,79,73,72.9,25.0,12.0
2026-04-24,4,False,33.3,0.34,0.03,False,89,77,76.9,25.0,12.0
2026-04-25,5,True,34.9,5.04,0.25,False,89,87,87.1,25.0,12.0
2026-04-26,6,True,34.6,2.35,0.33,False,84,84,96.5,25.0,12.0
2026-04-27,0,False,30.8,3.19,0.3,False,78,63,62.9,25.0,12.0
2026-04-28,1,False,33.4,2.14,0.26,False,78,58,57.7,25.0,12.0
2026-04-29,2,False,34.0,2.75,0.23,False,83,75,75.2,25.0,12.0
2026-04-30,3,False,29.9,2.82,0.32,False,77,77,85.4,25.0,12.0
2026-05-01,4,False,33.4,1.74,0.11,True,91,91,130.2,25.0,12.0
2026-05-02,5,True,28.9,0.76,0.05,False,97,91,91.4,25.0,12.0
2026-05-03,6,True,31.4,3.15,0.34,True,107,107,127.3,25.0,12.0
2026-05-04,0,False,30.2,0.73,0.15,True,80,80,120.7,25.0,12.0
2026-05-05,1,False,30.8,3.25,0.29,False,82,82,83.7,25.0,12.0
2026-05-06,2,False,29.3,0.9,0.57,False,74,74,88.3,25.0,12.0
2026-05-07,3,False,28.4,0.27,0.28,False,78,70,69.8,25.0,12.0
2026-05-08,4,False,26.3,4.77,0.3,False,89,67,66.9,25.0,12.0
2026-05-09,5,True,29.2,6.97,0.29,False,96,78,77.8,25.0,12.0
2026-05-10,6,True,27.5,0.23,0.35,False,101,101,111.2,25.0,12.0
2026-05-11,0,False,27.4,1.19,0.16,False,82,69,68.7,25.0,12.0
2026-05-12,1,False,27.3,4.84,0.48,False,77,72,71.5,25.0,12.0
2026-05-13,2,False,29.1,3.05,0.33,False,71,71,70.7,25.0,12.0
2026-05-14,3,False,25.8,0.08,0.05,False,79,79,84.0,25.0,12.0
2026-05-15,4,False,27.2,2.28,0.37,False,88,68,68.4,25.0,12.0
2026-05-16,5,True,25.2,3.52,0.61,True,106,106,122.7,25.0,12.0
2026-05-17,6,True,27.0,5.69,0.61,False,80,80,92.6,25.0,12.0
2026-05-18,0,False,25.0,1.24,0.21,True,97,97,103.8,25.0,12.0
2026-05-19,1,False,24.4,7.32,0.31,False,75,57,56.5,25.0,12.0
2026-05-20,2,False,26.1,0.42,0.12,True,96,96,109.4,25.0,12.0
2026-05-21,3,False,21.4,0.9,0.3,False,81,81,85.7,25.0,12.0
2026-05-22,4,False,28.0,1.15,0.46,False,84,69,69.0,25.0,12.0
2026-05-23,5,True,25.4,2.4,0.51,False,98,76,75.9,25.0,12.0
2026-05-24,6,True,24.4,2.27,0.23,False,89,89,97.2,25.0,12.0
2026-05-25,0,False,23.7,0.52,0.26,False,80,80,89.3,25.0,12.0
2026-05-26,1,False,25.7,1.41,0.33,False,93,57,56.7,25.0,12.0
